fy,diameter,fc,member_type,Lpb,Lpt,Ldc,Lpc
400,D19,35,FOOTING,490,630,330,540
400,D22,35,FOOTING,770,1000,380,620
400,D25,35,FOOTING,990,1290,430,710
400,D29,35,FOOTING,1340,1730,500,820
400,D32,35,FOOTING,1630,2110,550,900
400,D35,35,FOOTING,1940,2520,600,990
400,D10,35,BEAM_COLUMN,430,550,200,300
400,D13,35,BEAM_COLUMN,550,720,220,370
400,D16,35,BEAM_COLUMN,680,880,280,450
400,D19,35,BEAM_COLUMN,810,1050,330,540
400,D22,35,BEAM_COLUMN,1170,1510,380,620
400,D25,35,BEAM_COLUMN,1320,1720,430,710
400,D29,35,BEAM_COLUMN,1530,1990,500,820
400,D32,35,BEAM_COLUMN,1690,2200,550,900
400,D35,35,BEAM_COLUMN,1850,2400,600,990
400,D10,35,SLAB_WALL,300,330,200,300
400,D13,35,SLAB_WALL,410,530,220,370
400,D16,35,SLAB_WALL,580,760,280,450
400,D19,35,SLAB_WALL,780,1010,330,540
400,D22,35,SLAB_WALL,1240,1610,380,620
400,D25,35,SLAB_WALL,1530,1980,430,710
400,D29,35,SLAB_WALL,1930,2510,500,820
400,D32,35,SLAB_WALL,2260,2930,550,900
400,D35,35,SLAB_WALL,2590,3360,600,990
400,D10,40,FOOTING,300,310,200,300
400,D13,40,FOOTING,310,410,210,370
400,D16,40,FOOTING,380,500,260,450
400,D19,40,FOOTING,450,590,310,540
400,D22,40,FOOTING,720,940,360,620
400,D25,40,FOOTING,930,1210,400,710
400,D29,40,FOOTING,1250,1620,470,820
400,D32,40,FOOTING,1520,1980,520,900
400,D35,40,FOOTING,1820,2360,560,990
400,D10,40,BEAM_COLUMN,400,520,200,300
400,D13,40,BEAM_COLUMN,520,670,210,370
400,D16,40,BEAM_COLUMN,640,830,260,450
400,D19,40,BEAM_COLUMN,750,980,310,540
400,D22,40,BEAM_COLUMN,1090,1420,360,620
400,D25,40,BEAM_COLUMN,1240,1610,400,710
400,D29,40,BEAM_COLUMN,1440,1860,470,820
400,D32,40,BEAM_COLUMN,1580,2060,520,900
400,D35,40,BEAM_COLUMN,1730,2250,560,990
400,D10,40,SLAB_WALL,300,310,200,300
400,D13,40,SLAB_WALL,380,500,210,370
400,D16,40,SLAB_WALL,550,710,260,450
400,D19,40,SLAB_WALL,730,950,310,540
400,D22,40,SLAB_WALL,1160,1510,360,620
400,D25,40,SLAB_WALL,1430,1850,400,710
400,D29,40,SLAB_WALL,1810,2350,470,820
400,D32,40,SLAB_WALL,2110,2740,520,900
400,D35,40,SLAB_WALL,2420,3150,560,990
500,D10,21,FOOTING,410,540,280,410
500,D13,21,FOOTING,540,700,360,540
500,D16,21,FOOTING,660,850,440,660
500,D19,21,FOOTING,780,1010,520,780
500,D22,21,FOOTING,1240,1610,610,910
500,D25,21,FOOTING,1600,2080,690,1030
500,D29,21,FOOTING,2150,2800,800,1190
500,D32,21,FOOTING,2620,3400,880,1320
500,D35,21,FOOTING,3130,4070,960,1440
500,D10,21,BEAM_COLUMN,690,890,280,410
500,D13,21,BEAM_COLUMN,890,1160,360,540
500,D16,21,BEAM_COLUMN,1090,1420,440,660
500,D19,21,BEAM_COLUMN,1300,1690,520,780
500,D22,21,BEAM_COLUMN,1880,2440,610,910
500,D25,21,BEAM_COLUMN,2130,2770,690,1030
500,D29,21,BEAM_COLUMN,2470,3210,800,1190
500,D32,21,BEAM_COLUMN,2730,3550,880,1320
500,D35,21,BEAM_COLUMN,2980,3880,960,1440
500,D10,21,SLAB_WALL,410,540,280,410
500,D13,21,SLAB_WALL,660,850,360,540
500,D16,21,SLAB_WALL,940,1220,440,660
500,D19,21,SLAB_WALL,1250,1630,520,780
500,D22,21,SLAB_WALL,2000,2600,610,910
500,D25,21,SLAB_WALL,2460,3200,690,1030
500,D29,21,SLAB_WALL,3120,4050,800,1190
500,D32,21,SLAB_WALL,3640,4730,880,1320
500,D35,21,SLAB_WALL,4180,5430,960,1440
500,D10,24,FOOTING,390,510,260,410
500,D13,24,FOOTING,500,650,340,540
500,D16,24,FOOTING,620,800,410,660
500,D19,24,FOOTING,730,950,490,780
500,D22,24,FOOTING,1160,1510,570,910
500,D25,24,FOOTING,1500,1950,640,1030
500,D29,24,FOOTING,2010,2620,740,1190
500,D32,24,FOOTING,2450,3180,820,1320
500,D35,24,FOOTING,2930,3810,900,1440
500,D10,24,BEAM_COLUMN,640,830,260,410
500,D13,24,BEAM_COLUMN,830,1080,340,540
500,D16,24,BEAM_COLUMN,1020,1330,410,660
500,D19,24,BEAM_COLUMN,1220,1580,490,780
500,D22,24,BEAM_COLUMN,1760,2280,570,910
500,D25,24,BEAM_COLUMN,2000,2590,640,1030
500,D29,24,BEAM_COLUMN,2310,3010,740,1190
500,D32,24,BEAM_COLUMN,2550,3320,820,1320
500,D35,24,BEAM_COLUMN,2790,3630,900,1440
500,D10,24,SLAB_WALL,390,510,260,410
500,D13,24,SLAB_WALL,610,800,340,540
500,D16,24,SLAB_WALL,880,1140,410,660
500,D19,24,SLAB_WALL,1170,1520,490,780
500,D22,24,SLAB_WALL,1870,2430,570,910
500,D25,24,SLAB_WALL,2300,2990,640,1030
500,D29,24,SLAB_WALL,2920,3790,740,1190
500,D32,24,SLAB_WALL,3400,4420,820,1320
500,D35,24,SLAB_WALL,3910,5080,900,1440
