fy,diameter,fc,member_type,Ldb,Ldt,Ldh,Ldc
400,D16,35,SLAB_WALL,450,580,260,280
400,D19,35,SLAB_WALL,600,780,310,330
400,D22,35,SLAB_WALL,960,1240,360,380
400,D25,35,SLAB_WALL,1180,1530,410,430
400,D29,35,SLAB_WALL,1490,1930,480,500
400,D32,35,SLAB_WALL,1740,2260,520,550
400,D35,35,SLAB_WALL,1990,2590,570,600
400,D10,40,FOOTING,300,300,160,200
400,D13,40,FOOTING,300,310,200,210
400,D16,40,FOOTING,300,380,250,260
400,D19,40,FOOTING,350,450,290,310
400,D22,40,FOOTING,560,720,340,360
400,D25,40,FOOTING,720,930,380,400
400,D29,40,FOOTING,960,1250,450,470
400,D32,40,FOOTING,1170,1520,490,520
400,D35,40,FOOTING,1400,1820,540,560
400,D10,40,BEAM_COLUMN,310,400,160,200
400,D13,40,BEAM_COLUMN,400,520,200,210
400,D16,40,BEAM_COLUMN,490,640,250,260
400,D19,40,BEAM_COLUMN,580,750,290,310
400,D22,40,BEAM_COLUMN,840,1090,340,360
400,D25,40,BEAM_COLUMN,950,1240,380,400
400,D29,40,BEAM_COLUMN,1110,1440,450,470
400,D32,40,BEAM_COLUMN,1220,1580,490,520
400,D35,40,BEAM_COLUMN,1330,1730,540,560
400,D10,40,SLAB_WALL,300,300,160,200
400,D13,40,SLAB_WALL,300,380,200,210
400,D16,40,SLAB_WALL,420,550,250,260
400,D19,40,SLAB_WALL,560,730,290,310
400,D22,40,SLAB_WALL,890,1160,340,360
400,D25,40,SLAB_WALL,1100,1430,380,400
400,D29,40,SLAB_WALL,1390,1810,450,470
400,D32,40,SLAB_WALL,1620,2110,490,520
400,D35,40,SLAB_WALL,1860,2420,540,560
500,D10,21,FOOTING,320,410,270,280
500,D13,21,FOOTING,410,540,350,360
500,D16,21,FOOTING,510,660,420,440
500,D19,21,FOOTING,600,780,500,520
500,D22,21,FOOTING,960,1240,580,610
500,D25,21,FOOTING,1230,1600,660,690
500,D29,21,FOOTING,1660,2150,760,800
500,D32,21,FOOTING,2020,2620,840,880
500,D35,21,FOOTING,2410,3130,920,960
500,D10,21,BEAM_COLUMN,530,690,270,280
500,D13,21,BEAM_COLUMN,690,890,350,360
500,D16,21,BEAM_COLUMN,840,1090,420,440
500,D19,21,BEAM_COLUMN,1000,1300,500,520
500,D22,21,BEAM_COLUMN,1450,1880,580,610
500,D25,21,BEAM_COLUMN,1640,2130,660,690
500,D29,21,BEAM_COLUMN,1900,2470,760,800
500,D32,21,BEAM_COLUMN,2100,2730,840,880
500,D35,21,BEAM_COLUMN,2300,2980,920,960
500,D10,21,SLAB_WALL,320,410,270,280
500,D13,21,SLAB_WALL,510,660,350,360
500,D16,21,SLAB_WALL,720,940,420,440
500,D19,21,SLAB_WALL,970,1250,500,520
500,D22,21,SLAB_WALL,1540,2000,580,610
500,D25,21,SLAB_WALL,1890,2460,660,690
500,D29,21,SLAB_WALL,2400,3120,760,800
500,D32,21,SLAB_WALL,2800,3640,840,880
500,D35,21,SLAB_WALL,3210,4180,920,960
500,D10,24,FOOTING,300,390,250,260
500,D13,24,FOOTING,390,500,320,340
500,D16,24,FOOTING,480,620,400,410
500,D19,24,FOOTING,560,730,470,490
500,D22,24,FOOTING,890,1160,540,570
500,D25,24,FOOTING,1150,1500,620,640
500,D29,24,FOOTING,1550,2010,720,740
500,D32,24,FOOTING,1890,2450,790,820
500,D35,24,FOOTING,2260,2930,860,900
500,D10,24,BEAM_COLUMN,490,640,250,260
500,D13,24,BEAM_COLUMN,640,830,320,340
500,D16,24,BEAM_COLUMN,790,1020,400,410
500,D19,24,BEAM_COLUMN,940,1220,470,490
500,D22,24,BEAM_COLUMN,1350,1760,540,570
500,D25,24,BEAM_COLUMN,1540,2000,620,640
500,D29,24,BEAM_COLUMN,1780,2310,720,740
500,D32,24,BEAM_COLUMN,1960,2550,790,820
500,D35,24,BEAM_COLUMN,2150,2790,860,900
500,D10,24,SLAB_WALL,300,390,250,260
500,D13,24,SLAB_WALL,470,610,320,340
500,D16,24,SLAB_WALL,680,880,400,410
500,D19,24,SLAB_WALL,900,1170,470,490
500,D22,24,SLAB_WALL,1440,1870,540,570
500,D25,24,SLAB_WALL,1770,2300,620,640
